Month,East_North_Central_(NSA),East_North_Central_(SA),"East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
1991-01-01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991-02-01,100.91,100.96,101,100.6,100.13,100.33,98.41,98.79,101.71,102.19,100.12,100.53,100.59,100.46,100.48,100.5,99.83,99.57,100.39,100.44
1991-03-01,101.31,100.92,100.86,100.44,100.07,99.84,100.24,100.66,101.49,101.3,99.96,100.12,101.01,100.62,100.41,100.13,100.63,100.49,100.68,100.48
1991-04-01,101.69,100.98,100.81,100.45,99.6,99.29,100.34,100.41,100.99,100.98,100.14,100.12,100.9,100.42,100.82,100.38,100.36,100.05,100.68,100.33
1991-05-01,102.33,101.36,101.14,100.75,99.72,99.25,100.71,100.52,99.71,99.76,100.31,100.07,100.77,100.49,100.78,100.31,100.76,100.26,100.84,100.39
1991-06-01,102.78,101.5,102.01,101.47,99.86,98.99,102.08,101.58,99.11,98.59,100.44,99.9,101.31,100.53,101.4,100.53,101.95,100.95,101.35,100.51
1991-07-01,102.97,101.84,101.92,101.45,100.33,99.25,101.55,101.4,99.09,98.7,100.41,99.84,101,100.42,101.29,100.34,101.8,100.87,101.32,100.55
1991-08-01,103.14,102.04,101.73,100.86,99.8,98.82,101.79,101.27,98.3,97.73,100.74,99.97,100.86,100.02,101.79,100.76,101.55,100.55,101.28,100.38
1991-09-01,102.84,102,101.98,101.18,100.39,99.48,101.98,101.8,99.87,98.99,100.24,99.46,100.69,100.07,101.6,100.85,102.12,101.44,101.36,100.62
1991-10-01,103.07,102.31,101.93,101.6,100.23,99.17,103.02,102.53,99.18,98.63,100.79,100.28,101.66,100.93,101.88,101.49,101.38,100.66,101.59,100.92
1991-11-01,103.97,103.34,102.74,102.17,101.11,100.22,103.96,103.74,98.12,97.21,100.83,100.59,102.03,101.2,101.79,101.44,101.83,101.22,102.03,101.42
1991-12-01,103.74,103.4,103.39,103.26,100.85,100.53,103.76,103.68,98.98,98.62,101.01,100.72,101.92,101.58,102.82,102.51,102.21,101.96,102.17,101.88
1992-01-01,103.86,103.88,103.3,103.32,100.85,100.88,104.41,104.48,99.73,99.74,100.97,100.96,101.87,101.86,102.33,102.35,102.35,102.35,102.22,102.24
1992-02-01,104.35,104.39,104.47,104.08,101.87,102.12,105.14,105.56,99.73,100.25,100.99,101.41,102.71,102.57,102.87,102.9,103.46,103.21,102.89,102.96
1992-03-01,105.52,105.14,104.24,103.79,101.52,101.32,105.56,105.99,99.62,99.47,100.65,100.81,102.63,102.26,103.94,103.63,102.82,102.69,103.01,102.82
1992-04-01,105.92,105.18,103.75,103.37,101.26,100.96,105.91,105.95,98.43,98.44,100.41,100.37,102.32,101.84,104.08,103.61,103.07,102.75,102.93,102.57
1992-05-01,106.53,105.53,104.51,104.11,100.96,100.45,106.61,106.36,97.44,97.44,100.46,100.19,102.3,102.02,104.33,103.82,103.16,102.61,103.08,102.6
1992-06-01,106.92,105.57,104.72,104.11,101.33,100.4,107.54,106.98,96.94,96.34,100.29,99.72,102.47,101.68,105.17,104.23,103.97,102.98,103.4,102.52
1992-07-01,107.13,105.94,105.23,104.69,101.57,100.42,107.49,107.27,97.13,96.64,100.61,99.99,102.79,102.17,105.7,104.67,104.27,103.32,103.69,102.87
1992-08-01,107.58,106.41,106.3,105.38,101.55,100.47,108.59,108,98.16,97.54,100.92,100.14,103.84,102.96,105.96,104.85,104.85,103.8,104.28,103.33
1992-09-01,107.57,106.68,106.66,105.84,102.27,101.34,108.71,108.46,98.28,97.41,100.96,100.17,104.11,103.45,106.29,105.46,104.86,104.16,104.49,103.72
